state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn
KS,185,510,yes,no,0,189.6,103,32.23,241.5,87,20.53,164.7,105,7.41,4.6,1,1.24,1,yes
KY,139,408,no,no,0,166.2,125,28.25,252.5,94,21.46,247.0,82,11.12,7.3,6,1.97,1,no
WY,70,415,no,no,0,186.3,108,31.67,235.5,107,20.02,230.8,85,10.39,14.3,4,3.86,1,no
MA,94,510,no,no,0,258.6,85,43.96,222.0,105,18.87,141.9,52,6.39,8.8,5,2.38,0,no
LA,136,415,yes,yes,8,185.3,123,31.5,210.7,142,17.91,237.0,100,10.66,11.9,4,3.21,1,no
SD,87,408,no,no,0,143.8,101,24.45,181.9,79,15.46,146.6,136,6.6,15.0,7,4.05,3,no
GA,136,510,no,no,0,186.6,92,31.72,184.0,68,15.64,208.2,98,9.37,8.7,3,2.35,0,no
CT,127,415,no,no,0,201.0,123,34.17,219.6,56,18.67,181.5,88,8.17,11.4,6,3.08,0,yes
AR,58,408,no,yes,7,139.3,99,23.68,177.4,96,15.08,280.3,106,12.61,6.7,6,1.81,1,no
LA,123,415,no,no,0,185.1,102,31.47,198.2,88,16.85,238.4,101,10.73,11.7,3,3.16,1,no
MT,113,415,yes,no,0,165.5,75,28.14,238.4,112,20.26,208.9,46,9.4,9.9,4,2.67,2,no
KS,151,408,no,no,0,237.2,91,40.32,177.5,96,15.09,188.8,94,8.5,11.2,4,3.02,1,no
ME,132,510,no,yes,3,135.0,99,22.95,184.5,121,15.68,179.3,108,8.07,13.5,3,3.65,2,no
DE,86,408,no,no,0,132.6,126,22.54,171.7,115,14.59,206.5,100,9.29,14.5,4,3.92,0,no
WY,98,408,no,no,0,181.4,79,30.84,215.8,115,18.34,225.3,75,10.14,13.0,3,3.51,1,no
AK,82,408,no,yes,8,75.3,91,12.8,225.7,104,19.18,202.0,131,9.09,12.0,3,3.24,1,no
IL,66,510,no,no,0,173.0,55,29.41,233.7,113,19.86,266.5,80,11.99,7.8,2,2.11,2,no
UT,121,415,no,no,0,228.1,100,38.78,173.9,104,14.78,187.6,112,8.44,10.2,3,2.75,4,no
SC,204,408,yes,no,0,167.1,129,28.41,235.9,105,20.05,261.6,107,11.77,11.2,5,3.02,3,yes
WY,100,408,no,no,0,176.0,77,29.92,184.1,88,15.65,208.1,83,9.36,9.5,1,2.57,2,no
IN,66,408,no,no,0,244.8,95,41.62,165.9,92,14.1,154.5,128,6.95,7.9,2,2.13,2,no
OH,121,408,yes,no,0,136.8,83,23.26,169.6,96,14.42,190.2,111,8.56,9.5,3,2.57,0,no
SC,93,408,no,no,0,181.3,68,30.82,186.3,109,15.84,265.7,95,11.96,14.3,0,3.86,0,no
MS,106,510,no,no,0,184.2,101,31.31,213.1,143,18.11,289.6,87,13.03,3.0,8,0.81,0,no
PA,184,510,yes,yes,10,157.8,87,26.83,161.8,112,13.75,154.4,120,6.95,6.5,4,1.76,2,no
VT,148,408,no,yes,12,99.1,63,16.85,157.2,96,13.36,212.4,72,9.56,9.6,5,2.59,1,no
TX,138,415,no,no,0,219.5,108,37.32,207.3,81,17.62,237.5,76,10.69,5.2,2,1.4,3,no
UT,128,408,no,yes,13,214.6,90,36.48,201.1,118,17.09,197.7,103,8.9,5.4,3,1.46,0,no
MN,153,510,no,no,0,190.6,96,32.4,236.6,129,20.11,165.0,85,7.42,12.4,5,3.35,0,no
NE,129,510,no,no,0,135.8,104,23.09,153.9,90,13.08,148.1,98,6.66,5.3,5,1.43,1,no
ME,15,415,no,no,0,224.8,70,38.22,187.7,112,15.95,197.9,98,8.91,10.2,2,2.75,2,no
ID,202,510,yes,no,0,202.6,122,34.44,176.4,99,14.99,262.0,87,11.79,15.4,5,4.16,1,yes
NC,124,510,no,no,0,188.9,138,32.11,204.8,97,17.41,240.4,92,10.82,11.2,6,3.02,2,no
CA,89,415,no,no,0,178.9,68,30.41,194.8,107,16.56,260.4,98,11.72,9.0,3,2.43,0,no
UT,93,510,no,no,0,181.2,80,30.8,174.3,117,14.82,178.0,96,8.01,12.1,6,3.27,2,yes
SC,106,408,no,no,0,205.3,89,34.9,249.0,98,21.17,224.3,123,10.09,13.3,6,3.59,0,no
WV,121,408,no,no,0,130.2,118,22.13,232.5,118,19.76,189.1,55,8.51,14.8,5,4.0,3,no
AK,115,415,no,no,0,104.8,88,17.82,177.8,73,15.11,170.7,100,7.68,14.2,2,3.83,0,no
CO,58,408,no,no,0,179.4,98,30.5,185.3,72,15.75,179.1,90,8.06,6.0,2,1.62,0,no
DC,114,415,yes,no,0,201.3,144,34.22,220.5,78,18.74,204.4,84,9.2,9.3,4,2.51,4,yes
AR,134,510,no,no,0,239.2,102,40.66,196.0,90,16.66,171.1,86,7.7,5.9,4,1.59,1,yes
HI,231,415,no,no,0,169.4,93,28.8,205.0,95,17.43,204.3,125,9.19,9.6,6,2.59,3,no
ND,79,510,no,no,0,237.9,107,40.44,223.0,113,18.96,203.5,111,9.16,6.9,2,1.86,1,no
RI,144,408,no,no,0,171.8,90,29.21,206.4,101,17.54,208.5,49,9.38,6.8,4,1.84,1,no
CA,149,408,no,no,0,169.1,91,28.75,132.7,87,11.28,173.0,84,7.79,11.0,2,2.97,0,no
LA,59,408,no,no,0,208.6,79,35.46,172.9,70,14.7,213.4,119,9.6,13.5,1,3.65,0,no
NY,143,408,no,no,0,166.1,91,28.24,191.2,94,16.25,165.3,133,7.44,8.4,8,2.27,2,no
AL,86,510,no,yes,10,238.6,121,40.56,196.0,124,16.66,168.9,81,7.6,11.3,7,3.05,1,no
WA,137,510,no,yes,13,223.8,132,38.05,255.2,118,21.69,265.4,119,11.94,3.0,8,0.81,3,no
MO,118,510,no,no,0,183.7,84,31.23,266.5,99,22.65,218.6,105,9.84,3.7,1,1.0,3,no
UT,93,415,yes,no,0,293.5,78,49.9,188.6,75,16.03,233.3,133,10.5,15.0,5,4.05,3,yes
GA,127,510,no,no,0,221.4,90,37.64,153.6,101,13.06,171.4,78,7.71,7.8,2,2.11,3,no
AK,78,510,no,no,0,178.2,97,30.29,164.8,88,14.01,158.1,139,7.11,10.1,3,2.73,2,yes
WY,166,408,no,no,0,201.6,67,34.27,222.6,85,18.92,182.7,98,8.22,8.3,3,2.24,3,no
DC,115,408,no,no,0,180.4,78,30.67,283.9,89,24.13,215.2,87,9.68,3.2,2,0.86,0,no
KY,127,415,no,no,0,246.0,111,41.82,280.7,104,23.86,262.4,108,11.81,10.7,4,2.89,1,no
NJ,57,510,no,no,0,204.5,100,34.77,218.7,60,18.59,230.9,132,10.39,10.7,5,2.89,0,no
FL,106,408,no,no,0,226.0,115,38.42,222.8,93,18.94,238.3,97,10.72,8.3,5,2.24,2,yes
NM,92,415,no,no,0,217.6,114,36.99,204.6,116,17.39,172.7,70,7.77,9.5,5,2.57,3,no
NH,141,415,yes,no,0,203.3,113,34.56,163.5,68,13.9,228.6,107,10.29,7.3,5,1.97,2,yes
MD,32,415,no,yes,6,146.6,99,24.92,249.6,87,21.22,189.3,96,8.52,8.4,8,2.27,1,no
MO,156,415,no,no,0,209.0,110,35.53,258.9,138,22.01,195.5,80,8.8,9.2,4,2.48,1,no
WV,43,415,no,no,0,273.2,129,46.44,276.7,101,23.52,219.3,90,9.87,12.6,4,3.4,2,no
AL,110,415,no,yes,7,178.9,99,30.41,222.4,103,18.9,243.1,104,10.94,7.5,3,2.03,1,no
UT,105,408,no,no,0,144.5,113,24.57,176.9,114,15.04,233.9,82,10.53,7.5,3,2.03,5,no
NV,132,408,yes,no,0,212.3,110,36.09,157.1,127,13.35,227.2,108,10.22,7.9,4,2.13,2,yes
TN,96,408,no,no,0,162.0,100,27.54,236.9,138,20.14,210.6,87,9.48,10.3,8,2.78,2,no
OR,37,415,no,no,0,185.9,58,31.6,236.5,93,20.1,223.7,94,10.07,12.9,6,3.48,4,no
NC,120,415,no,no,0,180.8,59,30.74,130.0,46,11.05,195.2,67,8.78,3.0,3,0.81,1,no
NY,120,510,no,no,0,241.5,125,41.05,169.9,119,14.44,253.4,130,11.4,13.0,4,3.51,0,no
DC,157,415,no,no,0,225.3,87,38.3,178.4,100,15.16,202.6,80,9.12,9.3,5,2.51,0,no
CO,118,415,no,no,0,208.4,71,35.43,132.9,80,11.3,185.7,123,8.36,9.2,1,2.48,2,no
LA,102,510,no,no,0,77.1,108,13.11,212.2,95,18.04,170.5,92,7.67,14.4,5,3.89,0,no
WV,107,510,no,no,0,289.7,58,49.25,224.9,97,19.12,219.8,86,9.89,9.9,2,2.67,2,yes
LA,61,415,yes,yes,5,208.8,78,35.5,178.1,84,15.14,187.7,104,8.45,12.7,4,3.43,3,yes
CO,100,408,no,yes,11,173.3,71,29.46,216.5,86,18.4,236.4,86,10.64,9.1,3,2.46,1,no
DC,114,408,no,yes,7,178.1,80,30.28,178.2,70,15.15,229.4,100,10.32,8.4,4,2.27,2,no
WA,104,510,no,no,0,142.3,110,24.19,173.8,65,14.77,236.2,79,10.63,12.4,5,3.35,1,no
SD,114,408,no,no,0,177.4,95,30.16,193.6,84,16.46,195.9,95,8.82,9.5,3,2.57,1,no
MT,111,510,no,no,0,118.6,52,20.16,189.1,96,16.07,206.6,85,9.3,10.0,4,2.7,1,yes
ID,150,408,no,yes,7,119.7,81,20.35,198.6,85,16.88,194.1,79,8.73,12.9,1,3.48,1,no
MD,145,415,no,no,0,138.0,86,23.46,179.9,106,15.29,234.9,72,10.57,6.9,3,1.86,1,no
TX,146,510,no,no,0,194.9,99,33.13,218.8,77,18.6,227.5,107,10.24,10.3,6,2.78,0,no
NJ,78,510,no,no,0,123.7,108,21.03,202.0,52,17.17,256.4,108,11.54,10.2,7,2.75,1,no
